Name,Type,Species,Height,Weight,Abilities,Catch rate,Base Friendship,Base Exp.,Growth Rate,Gender,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Spearow,Normal Flying,Tiny Bird Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),1. Keen EyeSniper (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),52,Medium Fast,"50% male, 50% female",40,60,30,31,31,70
Fearow,Normal Flying,Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),1. Keen EyeSniper (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),155,Medium Fast,"50% male, 50% female",65,90,65,61,61,100
Ekans,Poison,Snake Pokémon,2.0 m (6′07″),6.9 kg (15.2 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),58,Medium Fast,"50% male, 50% female",35,60,44,40,54,55
Arbok,Poison,Cobra Pokémon,3.5 m (11′06″),65.0 kg (143.3 lbs),1. Intimidate2. Shed SkinUnnerve (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),157,Medium Fast,"50% male, 50% female",60,95,69,65,79,80
Pikachu,Electric,Mouse Pokémon,0.4 m (1′04″),6.0 kg (13.2 lbs),"","190 (24.8% with PokéBall, full HP)",50 (normal),112,Medium Fast,"50% male, 50% female",45,80,50,75,60,120
Raichu,Electric Psychic,Mouse Pokémon,0.7 m (2′04″),21.0 kg (46.3 lbs),Surge Surfer,"75 (9.8% with PokéBall, full HP)",50 (normal),243,Medium Fast,"50% male, 50% female",60,85,50,95,85,110
Sandshrew,Ice Steel,Mouse Pokémon,0.7 m (2′04″),40.0 kg (88.2 lbs),Snow Cloak Slush Rush,"255 (33.3% with PokéBall, full HP)",50 (normal),60,Medium Fast,"50% male, 50% female",50,75,90,10,35,40
Sandslash,Ice Steel,Mouse Pokémon,1.2 m (3′11″),55.0 kg (121.3 lbs),Snow Cloak Slush Rush,"90 (11.8% with PokéBall, full HP)",50 (normal),158,Medium Fast,"50% male, 50% female",75,100,120,25,65,65
Clefairy,Fairy,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),1. Cute Charm2. Magic GuardFriend Guard (hidden ability),"150 (19.6% with PokéBall, full HP)",140 (higher than normal),113,Fast,"25% male, 75% female",70,45,48,60,65,35
Clefable,Fairy,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),1. Cute Charm2. Magic GuardUnaware (hidden ability),"25 (3.3% with PokéBall, full HP)",140 (higher than normal),217,Fast,"25% male, 75% female",95,70,73,95,90,60
Vulpix,Ice,Fox Pokémon,0.6 m (2′00″),9.9 kg (21.8 lbs),Snow Cloak Snow Warning,"190 (24.8% with PokéBall, full HP)",50 (normal),60,Medium Fast,"25% male, 75% female",38,41,40,50,65,65
Ninetales,Ice Fairy,Fox Pokémon,1.1 m (3′07″),19.9 kg (43.9 lbs),Snow Cloak Snow Warning,"75 (9.8% with PokéBall, full HP)",50 (normal),177,Medium Fast,"25% male, 75% female",73,67,75,81,100,109
Jigglypuff,Normal Fairy,Balloon Pokémon,0.5 m (1′08″),5.5 kg (12.1 lbs),1. Cute Charm2. CompetitiveFriend Guard (hidden ability),"170 (22.2% with PokéBall, full HP)",50 (normal),95,Fast,"25% male, 75% female",115,45,20,45,25,20
Wigglytuff,Normal Fairy,Balloon Pokémon,1.0 m (3′03″),12.0 kg (26.5 lbs),1. Cute Charm2. CompetitiveFrisk (hidden ability),"50 (6.5% with PokéBall, full HP)",50 (normal),218,Fast,"25% male, 75% female",140,70,45,85,50,45
Zubat,Poison Flying,Bat Pokémon,0.8 m (2′07″),7.5 kg (16.5 lbs),1. Inner FocusInfiltrator (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),49,Medium Fast,"50% male, 50% female",40,45,35,30,40,55
Golbat,Poison Flying,Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),1. Inner FocusInfiltrator (hidden ability),"90 (11.8% with PokéBall, full HP)",50 (normal),159,Medium Fast,"50% male, 50% female",75,80,70,65,75,90
Oddish,Grass Poison,Weed Pokémon,0.5 m (1′08″),5.4 kg (11.9 lbs),1. ChlorophyllRun Away (hidden ability),"255 (33.3% with PokéBall, full HP)",50 (normal),64,Medium Slow,"50% male, 50% female",45,50,55,75,65,30
Gloom,Grass Poison,Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),1. ChlorophyllStench (hidden ability),"120 (15.7% with PokéBall, full HP)",50 (normal),138,Medium Slow,"50% male, 50% female",60,65,70,85,75,40
Vileplume,Grass Poison,Flower Pokémon,1.2 m (3′11″),18.6 kg (41.0 lbs),1. ChlorophyllEffect Spore (hidden ability),"45 (5.9% with PokéBall, full HP)",50 (normal),221,Medium Slow,"50% male, 50% female",75,80,85,110,90,50
Paras,Bug Grass,Mushroom Pokémon,0.3 m (1′00″),5.4 kg (11.9 lbs),1. Effect Spore2. Dry SkinDamp (hidden ability),"190 (24.8% with PokéBall, full HP)",50 (normal),57,Medium Fast,"50% male, 50% female",35,70,55,45,55,25
Parasect,Bug Grass,Mushroom Pokémon,1.0 m (3′03″),29.5 kg (65.0 lbs),1. Effect Spore2. Dry SkinDamp (hidden ability),"75 (9.8% with PokéBall, full HP)",50 (normal),142,Medium Fast,"50% male, 50% female",60,95,80,60,80,30
